target,inputs,num_large,num_solutions
778,100;100;2;1;2;9,2,2
402,100;10;7;2;8;1,1,100
940,25;25;75;25;4;7,4,0
973,7;2;5;5;1;3,0,0
203,25;50;50;75;10;2,4,21
520,50;75;75;75;10;10,4,13
827,100;75;100;100;4;9,4,2
322,75;25;25;50;9;8,4,46
472,10;8;4;1;6;10,0,29
446,100;100;10;8;10;6,2,3
877,75;50;2;3;6;4,2,10
444,100;100;50;1;10;1,3,0
283,25;50;100;7;6;9,3,64
807,50;100;25;9;3;1,3,9
728,8;7;7;5;5;1,0,20
813,100;50;25;10;9;6,3,5
300,75;75;50;25;8;9,4,167
219,50;25;9;8;7;5,2,354
890,75;50;1;9;10;9,2,20
116,50;50;2;10;6;8,2,343
259,75;100;5;9;9;3,2,55
447,75;50;50;2;7;5,3,4
120,75;75;50;6;3;2,3,276
931,100;100;50;5;10;8,3,0
360,75;100;75;7;10;6,3,52
346,75;50;75;9;3;2,3,36
571,5;10;9;6;8;5,0,8
644,5;9;9;4;2;4,0,16
408,8;7;5;1;6;8,0,65
724,100;6;2;7;1;8,1,20
341,100;75;75;75;6;5,4,0
186,1;6;7;1;3;5,0,7
352,75;7;4;6;6;9,1,62
193,8;2;10;10;5;6,0,65
847,75;3;4;10;4;9,1,16
319,50;50;100;6;8;1,3,8
450,100;6;9;4;10;7,1,285
309,75;75;100;2;8;8,3,67
964,75;7;4;10;10;7,1,7
354,100;50;25;10;7;10,3,39
962,25;25;6;4;1;8,2,10
910,50;10;6;2;7;6,1,73
866,50;50;25;50;8;4,4,3
858,10;2;2;5;4;2,0,0
434,100;9;9;7;4;1,1,22
686,100;75;1;5;10;8,2,127
647,100;75;8;8;6;5,2,39
963,75;75;25;8;10;7,3,6
519,25;4;7;4;3;3,1,4
669,7;8;7;7;4;1,0,0
684,50;100;100;100;8;7,4,7
400,50;10;3;3;3;3,1,25
902,25;9;10;7;3;5,1,23
329,75;3;6;5;9;1,1,39
374,50;1;2;8;2;10,1,34
593,75;100;25;5;3;8,3,69
186,3;3;10;1;7;2,0,94
117,50;100;50;25;6;5,4,59
657,1;8;5;9;4;2,0,14
893,2;5;9;7;6;5,0,10
542,7;6;9;7;10;3,0,16
905,100;50;100;25;8;8,4,3
583,6;5;5;6;10;3,0,6
334,1;9;6;5;2;6,0,4
947,25;7;1;8;4;4,1,0
382,10;6;9;3;10;10,0,5
670,25;4;5;5;8;6,1,26
161,75;8;7;6;7;9,1,53
832,100;50;1;3;8;8,2,45
483,100;75;6;3;1;6,2,16
452,3;3;7;1;1;4,0,0
185,75;50;50;4;3;3,3,307
998,100;100;3;4;1;4,2,0
119,10;8;6;2;1;9,0,347
327,50;50;100;9;3;1,3,50
592,75;75;9;9;2;8,2,58
473,50;10;7;2;4;6,1,98
386,4;7;5;3;2;7,0,20
678,100;50;7;3;4;8,2,62
510,100;4;10;1;8;1,1,31
625,100;100;100;4;9;2,3,8
996,25;5;10;4;8;7,1,71
853,100;25;50;3;7;1,3,56
375,50;10;9;5;8;6,1,163
235,25;100;7;1;8;2,2,45
805,75;50;50;75;3;10,4,21
322,50;25;50;75;4;10,4,28
722,100;7;10;9;6;7,1,25
515,75;9;4;5;8;1,1,43
899,9;3;3;7;9;9,0,0
774,75;50;100;100;9;2,4,14
435,6;10;9;10;5;6,0,12
410,100;8;2;1;3;4,1,176
848,50;100;100;3;1;7,3,107
919,75;25;75;25;7;6,4,0
436,9;5;3;4;7;7,0,60
962,10;8;3;8;6;5,0,14
650,100;25;75;4;9;1,3,106
853,50;100;25;8;6;2,3,32
805,50;25;75;100;10;10,4,14
545,100;7;1;8;10;10,1,22
273,25;8;9;6;10;10,1,115
413,5;6;5;4;1;7,0,3
633,7;10;9;6;1;6,0,6
537,5;8;5;5;2;10,0,0
935,25;25;9;9;7;5,2,9
941,100;100;4;10;5;10,2,4
216,25;2;9;5;8;3,1,500
579,25;75;1;6;1;1,2,0
927,100;50;75;25;6;7,4,5
929,75;25;8;9;1;4,2,17
431,75;75;1;7;9;7,2,1
715,25;100;75;2;7;4,3,13
505,25;25;1;1;3;3,2,3
447,50;9;9;6;10;7,1,156
685,75;75;6;10;7;8,2,23
568,9;7;7;3;6;4,0,14
595,3;1;2;2;4;2,0,0
526,100;25;3;8;8;1,2,7
443,75;50;100;5;9;9,3,141
874,50;50;100;5;10;10,3,0
881,25;50;50;8;6;7,3,16
915,100;50;25;1;6;9,3,31
509,100;75;50;100;8;2,4,15
775,50;75;100;25;1;4,4,101
510,25;1;2;3;7;8,1,108
833,75;50;9;7;9;6,2,147
307,50;100;6;10;1;6,2,21
689,75;25;100;6;10;1,3,123
677,50;50;75;25;9;4,4,21
301,50;10;6;3;5;10,1,59
943,100;75;75;25;9;8,4,2
296,75;75;50;75;3;4,4,50
866,50;7;3;3;3;8,1,1
913,50;25;50;4;7;2,3,1
746,8;10;5;3;10;1,0,3
521,50;75;100;9;8;9,3,11
344,25;25;75;10;10;5,3,0
215,25;75;4;7;6;1,2,170
903,6;6;3;10;9;5,0,55
382,9;9;6;9;2;1,0,0
747,25;25;25;2;4;9,3,9
187,25;100;2;10;2;4,2,251
696,75;25;50;100;8;3,4,22
723,50;100;25;100;6;8,4,39
125,50;50;10;8;6;5,2,273
245,25;25;1;3;3;9,2,72
193,50;100;25;75;9;7,4,402
989,75;50;50;3;6;4,3,7
811,25;75;100;8;3;6,3,13
635,2;9;7;4;1;3,0,0
119,50;9;4;4;1;5,1,37
488,50;25;8;1;3;7,2,36
699,50;4;1;2;7;3,1,80
664,25;25;10;7;8;5,2,16
423,25;75;1;5;6;9,2,48
991,50;25;5;8;8;5,2,4
408,75;100;6;3;10;1,2,65
279,25;100;25;3;2;3,3,18
578,75;25;8;5;7;4,2,94
475,100;6;5;10;5;10,1,132
927,3;6;3;4;5;7,0,21
146,100;50;7;2;7;8,2,698
901,50;6;9;10;4;2,1,12
125,5;3;8;3;4;8,0,135
487,75;50;100;25;3;8,4,17
657,100;50;50;100;7;3,4,27
783,50;75;9;1;1;8,2,9
996,25;75;4;9;5;3,2,28
731,25;75;8;4;7;5,2,42
858,75;8;3;5;9;5,1,24
992,100;25;75;100;10;10,4,3
117,50;75;4;2;7;4,2,202
654,75;100;25;75;8;5,4,0
703,50;25;75;25;2;9,4,3
347,50;100;25;2;2;4,3,0
318,25;50;50;50;1;8,4,2
564,50;50;6;3;1;10,2,80
435,75;100;50;10;10;8,3,91
880,6;7;10;1;5;2,0,39
897,50;50;75;75;2;1,4,0
379,75;75;50;8;4;5,3,30
157,50;6;3;5;9;7,1,280
308,100;25;100;5;6;9,3,0
309,50;25;50;7;8;7,3,1
233,75;6;7;10;6;10,1,36
558,25;50;100;25;2;8,4,43
838,25;75;5;4;10;3,2,5
794,100;75;100;5;9;9,3,21
293,1;3;4;6;3;8,0,37
239,1;3;7;3;7;10,0,14
728,75;100;75;100;5;6,4,0
186,75;50;25;9;8;3,3,71
161,100;1;7;1;6;6,1,3
540,50;100;75;10;5;6,3,340
167,100;100;25;100;9;4,4,0
616,50;50;7;1;3;5,2,9
170,25;50;25;7;5;3,3,153
645,1;3;4;9;9;9,0,5
208,100;50;1;5;4;9,2,72
345,75;50;4;5;6;8,2,189
455,25;25;1;6;1;5,2,5
686,100;100;50;9;5;6,3,19
628,25;100;25;7;8;4,3,67
947,100;1;8;4;1;2,1,3
781,5;7;10;2;1;2,0,0
459,2;10;1;2;3;10,0,3
570,3;5;10;1;8;7,0,97
884,100;4;8;3;3;8,1,20
879,50;25;25;5;8;9,3,30
450,75;50;75;75;7;5,4,55
728,25;100;100;25;2;8,4,1
779,25;50;25;25;9;3,4,1
762,25;100;50;75;8;9,4,16
213,4;9;9;8;3;6,0,169
163,100;75;25;4;9;7,3,528
232,2;3;7;2;1;9,0,27
918,100;6;3;3;10;7,1,49
507,50;100;100;50;9;10,4,18
162,50;100;6;3;3;9,2,648
421,50;25;50;50;9;6,4,34
881,75;100;100;25;6;2,4,22
750,50;50;4;3;1;5,2,83
842,10;9;7;7;2;7,0,2
444,75;25;10;6;7;2,2,242
901,100;75;75;4;2;2,3,6
691,75;75;50;75;10;6,4,5
795,25;75;8;5;8;9,2,23
574,25;50;100;10;9;1,3,133
510,25;8;7;7;5;3,1,59
403,50;25;3;8;3;1,2,48
976,7;3;9;10;2;10,0,2
851,100;25;9;1;9;3,2,8
945,25;6;1;5;1;8,1,3
140,100;8;2;3;4;4,1,305
606,100;75;50;50;10;8,4,4
631,25;4;8;6;6;3,1,4
330,7;3;8;8;6;7,0,27
415,75;6;10;7;9;8,1,87
107,50;25;7;3;8;2,2,330
866,75;25;2;7;10;8,2,14
726,50;1;6;7;7;3,1,10
767,50;75;8;8;10;9,2,27
244,50;75;9;10;10;2,2,6
406,50;25;75;75;9;6,4,42
132,50;9;4;2;6;10,1,729
102,25;50;3;4;5;10,2,712
898,8;6;10;10;6;2,0,8
872,75;4;9;8;5;8,1,5
441,2;3;7;6;10;9,0,205
437,3;7;8;4;4;6,0,1
209,4;3;3;7;4;3,0,4
509,75;50;75;8;2;2,3,1
650,25;6;9;6;4;10,1,111
463,9;1;8;9;9;4,0,0
327,6;4;10;2;9;7,0,68
180,50;50;100;75;3;4,4,33
527,25;50;7;1;5;3,2,21
456,100;25;6;8;2;4,2,154
844,25;50;1;10;3;8,2,15
443,75;75;50;50;5;9,4,0
963,75;8;1;9;3;2,1,8
643,100;100;4;6;6;4,2,3
585,25;100;75;3;6;3,3,37
458,1;4;7;7;5;8,0,2
829,100;100;50;6;9;10,3,0
196,75;100;1;7;9;9,2,5
875,75;10;8;5;10;10,1,50
281,25;4;3;4;10;3,1,35
640,25;75;75;100;9;3,4,0
176,25;100;75;50;1;2,4,895
533,75;50;75;4;6;9,3,30
810,5;8;5;5;8;1,0,7
311,100;2;3;8;7;9,1,122
755,100;9;9;6;3;6,1,1
437,100;50;100;25;10;10,4,0
173,75;75;100;75;2;1,4,199
921,25;75;100;4;10;10,3,30
964,25;4;8;1;6;10,1,20
999,50;8;7;4;4;7,1,0
341,50;100;50;100;8;10,4,15
887,75;100;1;10;7;7,2,16
253,50;75;2;4;7;5,2,129
838,75;50;1;10;4;3,2,25
671,100;75;50;50;5;2,4,0
839,75;50;25;10;3;7,3,13
114,75;100;100;9;8;8,3,4
543,100;2;6;9;3;6,1,50
563,75;8;8;2;4;7,1,86
536,6;6;8;3;5;10,0,25
746,25;1;9;6;9;1,1,0
968,100;100;25;25;7;7,4,3
673,75;100;100;1;7;9,3,53
301,75;25;75;100;8;4,4,37
620,1;10;10;3;9;9,0,23
538,50;100;50;3;6;5,3,7
352,25;75;50;6;5;10,3,44
885,100;25;100;7;2;8,3,13
703,25;75;75;3;8;6,3,131
891,75;50;25;50;7;3,4,6
593,100;50;50;9;3;9,3,5
104,100;75;4;1;8;10,2,192
962,50;25;5;9;7;5,2,6
562,3;3;10;5;6;4,0,0
778,5;10;9;2;9;4,0,4
201,75;10;2;10;7;5,1,22
909,25;25;75;7;1;6,3,0
242,50;50;25;7;3;2,3,114
687,100;75;3;7;7;7,2,3
286,25;50;50;100;9;7,4,21
324,50;75;9;9;10;2,2,116
473,50;75;100;25;3;9,4,124
570,100;75;6;10;6;7,2,22
321,75;100;8;4;3;5,2,113
808,75;5;9;8;8;2,1,40
333,75;4;2;5;6;1,1,74
318,100;100;75;6;1;2,3,16
363,25;100;25;8;3;6,3,0
406,25;25;10;4;6;3,2,50
132,75;6;8;7;9;4,1,628
872,4;10;8;7;9;3,0,31
505,50;3;4;8;1;3,1,9
677,50;4;8;4;3;8,1,6
733,25;50;25;3;4;6,3,4
394,75;50;10;4;10;5,2,51
165,25;100;50;1;8;10,3,137
212,100;50;4;9;3;5,2,133
805,100;25;25;75;9;1,4,0
660,25;100;75;75;7;10,4,68
434,75;4;5;4;4;2,1,6
895,25;25;8;4;9;9,2,2
608,100;100;75;50;8;10,4,134
406,25;100;50;7;10;4,3,30
670,25;50;7;4;5;3,2,68
196,100;25;100;7;2;8,3,54
769,25;75;50;100;8;6,4,160
330,1;10;2;6;8;8,0,72
319,9;7;9;2;4;5,0,35
273,75;10;1;9;2;1,1,7
640,100;25;6;3;10;2,2,379
846,50;100;3;8;2;2,2,71
980,5;5;9;8;3;1,0,8
679,50;8;3;2;2;9,1,14
261,8;10;6;4;2;1,0,35
991,50;75;4;7;5;1,2,3
897,50;50;25;25;5;5,4,0
821,50;25;100;4;8;5,3,35
434,100;10;8;4;3;7,1,71
570,100;75;1;5;4;2,2,196
870,25;5;2;4;7;5,1,64
464,75;100;25;2;3;1,3,1
114,75;75;50;7;8;2,3,116
870,100;75;25;100;8;4,4,0
445,50;50;6;7;7;6,2,0
189,4;3;9;10;10;2,0,305
369,75;75;100;5;1;6,3,39
486,50;25;8;5;8;2,2,29
433,25;10;6;8;4;9,1,73
236,100;75;2;3;9;5,2,211
994,4;1;1;4;9;8,0,0
637,25;100;25;1;5;8,3,44
364,50;4;7;8;7;5,1,382
235,50;2;9;4;9;6,1,89
198,50;100;100;50;7;3,4,19
269,25;100;100;100;4;4,4,0
153,6;10;4;8;5;3,0,333
800,75;100;25;5;8;6,3,241
606,75;9;5;6;5;6,1,43
853,25;50;75;3;3;8,3,27
390,100;75;9;3;4;10,2,219
236,25;4;7;6;2;1,1,108
905,75;75;50;3;2;7,3,0
810,25;9;6;3;8;4,1,62
134,25;100;5;6;9;7,2,1042
119,2;4;3;9;9;10,0,210
368,25;50;50;75;2;5,4,4
496,50;50;25;50;7;2,4,0
417,25;100;25;25;2;9,4,2
241,50;1;2;6;10;5,1,196
382,5;4;10;10;8;10,0,22
228,100;75;10;1;10;1,2,0
921,75;50;75;5;7;3,3,14
394,25;50;100;3;4;10,3,15
387,25;8;9;4;7;8,1,53
470,9;1;6;5;4;2,0,12
345,50;100;100;7;7;1,3,11
398,25;25;25;10;4;1,3,0
112,100;100;50;2;10;3,3,172
632,25;25;75;9;4;10,3,4
806,25;100;100;9;6;6,3,4
588,100;3;3;7;3;5,1,32
593,50;50;50;50;6;6,4,3
744,50;100;25;75;10;7,4,7
531,1;7;7;2;9;5,0,14
407,50;25;75;25;1;7,4,23
388,25;100;100;1;7;7,3,0
996,25;5;8;9;3;9,1,14
102,75;100;100;5;10;3,3,236
688,50;25;100;9;3;4,3,104
315,100;50;25;25;10;8,4,205
150,100;25;8;9;4;3,2,520
681,10;9;5;2;10;2,0,1
880,4;5;6;3;2;5,0,17
512,50;50;5;10;3;10,2,18
725,25;75;7;6;7;8,2,21
821,2;3;9;10;7;9,0,15
541,100;50;5;8;3;5,2,9
684,7;2;3;5;1;4,0,0
788,25;100;10;3;9;8,2,80
598,75;25;25;3;1;4,3,17
799,50;100;50;25;4;10,4,0
800,75;7;4;3;1;5,1,49
481,1;6;10;2;3;10,0,28
401,75;2;5;6;8;10,1,229
863,25;25;25;25;2;7,4,1
161,75;100;9;8;10;5,2,1117
120,100;25;6;6;10;4,2,565
483,75;2;2;3;6;6,1,77
779,75;50;25;100;3;2,4,0
749,25;75;9;2;10;1,2,41
109,100;75;7;4;5;7,2,262
905,100;100;50;3;9;6,3,20
588,25;25;75;10;1;2,3,12
894,100;75;10;7;1;5,2,21
984,25;25;100;1;1;5,3,0
867,50;50;100;9;3;10,3,20
298,5;10;3;8;5;7,0,67
554,50;100;75;100;5;10,4,2
149,75;4;10;10;6;10,1,52
630,25;25;100;25;10;9,4,47
903,50;25;25;5;4;7,3,14
657,100;50;100;100;2;5,4,1
140,7;3;5;9;6;8,0,691
123,25;25;25;7;4;4,3,30
958,100;100;1;9;8;8,2,0
